Date,Open,High,Low,Close
09/29/2021,"22.5178","23.9045","22.0158","22.3558"
09/28/2021,"23.3301","23.8069","22.1912","22.5178"
09/27/2021,"24.8544","25.4513","23.2286","23.3301"
09/26/2021,"24.1832","25.3569","22.3993","24.8187"
09/25/2021,"23.3681","24.3316","22.0809","24.1832"
09/24/2021,"25.2479","25.4850","21.4574","23.3196"
09/23/2021,"24.2400","25.4392","23.4005","25.2479"
09/22/2021,"21.5845","24.5007","20.9160","24.2308"
09/21/2021,"23.9639","24.3615","21.5558","21.5845"
09/20/2021,"27.7368","27.7872","23.0525","23.8568"
09/19/2021,"28.0350","28.7733","27.5202","27.7368"
09/18/2021,"27.7710","29.4389","27.4165","28.0461"
09/17/2021,"29.1113","30.1179","27.7631","27.7631"
09/16/2021,"30.2254","32.1070","29.0745","29.2032"
09/15/2021,"29.3441","31.4351","28.6981","30.1807"
09/14/2021,"27.4667","29.5381","26.7521","29.3678"
09/13/2021,"27.9960","29.9090","25.4111","27.3906"
09/12/2021,"27.1529","29.7116","26.4022","27.9620"
09/11/2021,"26.2510","27.6525","25.7320","27.1543"
09/10/2021,"28.2271","29.5539","25.7500","26.3119"
09/09/2021,"27.1740","30.1547","26.5087","28.2372"
09/08/2021,"28.0304","29.1891","25.2286","27.1114"
09/07/2021,"35.8207","35.8278","23.9000","27.9290"
09/06/2021,"33.1242","36.3000","32.6075","35.8075"
09/05/2021,"30.0360","33.1356","29.5738","33.1075"
09/04/2021,"30.7544","31.1851","29.4772","30.0360"
09/03/2021,"30.5567","31.7350","29.1000","30.7544"
09/02/2021,"29.2934","30.8700","28.7758","30.6258"
09/01/2021,"26.6611","29.7865","26.1200","29.2934"
08/31/2021,"26.4000","27.4494","24.7146","26.6451"
08/30/2021,"25.7861","26.3677","24.4075","26.3616"
08/29/2021,"25.5829","26.5618","25.1806","25.7861"
08/28/2021,"25.8358","26.1801","25.4161","25.5829"
08/27/2021,"24.6965","26.0222","24.0349","25.8152"
08/26/2021,"26.3523","26.9360","23.9192","24.7226"
08/25/2021,"26.6459","26.8584","25.3622","26.3523"
08/24/2021,"28.6745","28.9207","25.8262","26.6480"
08/23/2021,"27.0534","29.2939","26.9788","28.6539"
08/22/2021,"27.8498","28.6647","26.8396","27.0054"
08/21/2021,"28.5888","29.1449","27.6806","27.7791"
08/20/2021,"26.8489","28.9917","26.4344","28.5888"
08/19/2021,"25.1660","27.0989","24.5194","26.8489"
08/18/2021,"26.9040","26.9111","24.8894","25.1813"
08/17/2021,"28.4365","30.2795","26.0546","26.9040"
08/16/2021,"27.2509","30.5049","27.0429","28.4365"
08/15/2021,"26.6043","27.5624","25.9469","27.2200"
08/14/2021,"27.1712","27.9499","26.4694","26.6043"
08/13/2021,"24.9873","27.2142","24.1711","27.1559"
08/12/2021,"26.8932","26.8932","24.1428","24.9657"
08/11/2021,"24.8001","27.2927","24.4224","26.8932"
